,brand,category,gender,image,link,name,price
95,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831974_888&$img1=831974_589,http://store.nike.com/us/en_us/pd/mercurialx-finale-ii-mens-indoor-competition-soccer-shoe/pid-11155857/pgid-11637162,Nike MercurialX Finale II IC,$59.97
96,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819222_443,http://store.nike.com/us/en_us/pd/tiempo-mystic-v-mens-indoor-court-soccer-shoe/pid-11155540/pgid-11877927,Nike Tiempo Mystic V IC,$49.97
97,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819218_443,http://store.nike.com/us/en_us/pd/tiempo-legacy-ii-mens-firm-ground-soccer-cleat/pid-11155532/pgid-11831612,Nike Tiempo Legacy II FG,$69.97
98,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852506_001,http://store.nike.com/us/en_us/pd/magistax-proximo-ii-tech-craft-2-mens-turf-soccer-shoe/pid-11233920/pgid-11878242,Nike MagistaX Proximo II Tech Craft 2.0 TF,$129.97
99,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831975_888&$img1=831975_589,http://store.nike.com/us/en_us/pd/mercurialx-finale-ii-mens-turf-soccer-shoe/pid-11155860/pgid-11637062,Nike MercurialX Finale II TF,$59.97
100,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819213_443,http://store.nike.com/us/en_us/pd/tiempo-genio-ii-leather-mens-firm-ground-soccer-cleat/pid-11155522/pgid-11289054,Nike Tiempo Genio II Leather FG,$39.97
101,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852536_001,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-tech-craft-2-mens-turf-soccer-shoe/pid-11228358/pgid-11878244,Nike MercurialX Proximo II Tech Craft 2.0 TF,$129.97
102,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819236_443,http://store.nike.com/us/en_us/pd/tiempo-mystic-v-mens-firm-ground-soccer-cleat/pid-11155549/pgid-11796221,Nike Tiempo Mystic V FG,$49.97
103,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852507_001,http://store.nike.com/us/en_us/pd/magistax-proximo-ii-tech-craft-2-mens-indoor-court-soccer-shoe/pid-11233922/pgid-11878243,Nike MagistaX Proximo II Tech Craft 2.0 IC,$129.97
104,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852477_001,http://store.nike.com/us/en_us/pd/hypervenomx-proximo-tech-craft-2-mens-turf-soccer-shoe/pid-11228356/pgid-11878240,Nike HyperVenomX Proximo Tech Craft 2.0 TF,$129.97
105,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844413_375,http://store.nike.com/us/en_us/pd/magista-onda-ii-mens-indoor-court-soccer-shoe/pid-11156327/pgid-11796571,Nike Magista Onda II IC,$49.97
106,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819224_443,http://store.nike.com/us/en_us/pd/tiempo-mystic-v-mens-turf-soccer-shoe/pid-11155542/pgid-11878038,Nike Tiempo Mystic V TF,$49.97
107,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852508_376,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-cr7-sg-pro-mens-soft-ground-soccer-cleat/pid-11157149/pgid-11877995,Nike Mercurial Superfly V CR7 SG-PRO,$199.97
108,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852474_001,http://store.nike.com/us/en_us/pd/hypervenom-phinish-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229708/pgid-11878212,Nike HyperVenom Phinish Tech Craft 2.0 FG,$174.97
