,image,name,price,link,color,brand,gender
80,http://clarks.scene7.com/is/image/clarks/26124900_AZ?$prod_list$,Sillian Tino,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/sillian-tino-navy-perf-textile/p/26124900,Navy Perf Textile,Clarks,w
81,http://clarks.scene7.com/is/image/clarks/26125323_AZ?$prod_list$,Sillian Tino,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/sillian-tino-dark-grey-perf-textile/p/26125323,Dark Grey Perf Textile,Clarks,w
82,http://clarks.scene7.com/is/image/clarks/26124285_AZ?$prod_list$,Vendra Bloom,$100.00,http://www.clarksusa.com/us/womens/womens-wedges/vendra-bloom-dusty-pink-lizard-leather/p/26124285,Dusty Pink Lizard Leather,Clarks,w
83,http://clarks.scene7.com/is/image/clarks/26124942_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-orange-nubuck/p/26124942,Orange Nubuck,Clarks,w
84,http://clarks.scene7.com/is/image/clarks/26124944_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-white-leather/p/26124944,White Leather,Clarks,w
85,http://clarks.scene7.com/is/image/clarks/26125080_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-black-nubuck/p/26125080,Black Nubuck,Clarks,w
86,http://clarks.scene7.com/is/image/clarks/26124945_AZ?$prod_list$,Aisley Tulip,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-tulip-sand-nubuck/p/26124945,Sand Nubuck,Clarks,w
87,http://clarks.scene7.com/is/image/clarks/26124789_AZ?$prod_list$,Leisa Higley,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-higley-navy-leather/p/26124789,Navy Leather,Clarks,w
88,http://clarks.scene7.com/is/image/clarks/26125073_AZ?$prod_list$,Leisa Higley,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-higley-black-leather/p/26125073,Black Leather,Clarks,w
89,http://clarks.scene7.com/is/image/clarks/26125075_AZ?$prod_list$,Leisa Higley,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/leisa-higley-pewter-metallic-leather/p/26125075,Pewter Metallic Leather,Clarks,w
90,http://clarks.scene7.com/is/image/clarks/26123160_AZ?$prod_list$,Zyris Vienna,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/zyris-vienna-black-leather/p/26123160,Black Leather,Clarks,w
91,http://clarks.scene7.com/is/image/clarks/26123161_AZ?$prod_list$,Zyris Vienna,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/zyris-vienna-dark-tan-leather/p/26123161,Dark Tan Leather,Clarks,w
92,http://clarks.scene7.com/is/image/clarks/26123610_AZ?$prod_list$,Hidi Haze,$140.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/hidi-haze-black-nubuck/p/26123610,Black Nubuck,Clarks,w
93,http://clarks.scene7.com/is/image/clarks/26124265_AZ?$prod_list$,Zyris Toledo,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/zyris-toledo-navy-leather-fabric-combi/p/26124265,Navy Leather/Fabric Combi,Clarks,w
94,http://clarks.scene7.com/is/image/clarks/26124270_AZ?$prod_list$,Zyris Toledo,$110.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-casual-shoes/zyris-toledo-black-leather/p/26124270,Black Leather,Clarks,w
95,http://clarks.scene7.com/is/image/clarks/26124777_AZ?$prod_list$,Jocolin Vista,$85.00,http://www.clarksusa.com/us/womens/womens-flats/jocolin-vista-black-perf-textile/p/26124777,Black Perf Textile,Clarks,w
96,http://clarks.scene7.com/is/image/clarks/26125714_AZ?$prod_list$,Delana Varro,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/delana-varro-pewter-leather/p/26125714,Pewter Leather,Clarks,w
97,http://clarks.scene7.com/is/image/clarks/26126008_AZ?$prod_list$,Boylan Dawn,$120.00,http://www.clarksusa.com/us/womens-collections/womens-collection/boylan-dawn-sand-nubuck/p/26126008,Sand Nubuck,Clarks,w
98,http://clarks.scene7.com/is/image/clarks/26125783_AZ?$prod_list$,Asney Slipon,$90.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/asney-slipon-black-nubuck/p/26125783,Black Nubuck,Clarks,w
99,http://clarks.scene7.com/is/image/clarks/26124457_AZ?$prod_list$,Jocolin Maye,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/jocolin-maye-navy-perf-textile/p/26124457,Navy Perf Textile,Clarks,w
100,http://clarks.scene7.com/is/image/clarks/26124458_AZ?$prod_list$,Jocolin Maye,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/jocolin-maye-sand-perf-textile/p/26124458,Sand Perf Textile,Clarks,w
101,http://clarks.scene7.com/is/image/clarks/26124776_AZ?$prod_list$,Jocolin Maye,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/jocolin-maye-turquoise-perf-textile/p/26124776,Turquoise Perf Textile,Clarks,w
102,http://clarks.scene7.com/is/image/clarks/26125705_AZ?$prod_list$,Jocolin Maye,$85.00,http://www.clarksusa.com/us/womens-collections/womens-collection/jocolin-maye-red-perf-textile/p/26125705,Red Perf Textile,Clarks,w
103,http://clarks.scene7.com/is/image/clarks/26118089_AZ?$prod_list$,Gintra Adira Moccasin,$50.00,http://www.clarksusa.com/us/womens/womens-slippers/gintra-adira-moccasin-black/p/26118089,Black,Clarks,w
104,http://clarks.scene7.com/is/image/clarks/26118120_AZ?$prod_list$,Gintra Adira Moccasin,$50.00,http://www.clarksusa.com/us/womens/womens-slippers/gintra-adira-moccasin-blue/p/26118120,Blue,Clarks,w
105,http://clarks.scene7.com/is/image/clarks/26118119_AZ?$prod_list$,Cow Suede Moccasin,$50.00,http://www.clarksusa.com/us/womens/womens-slippers/cow-suede-moccasin-red/p/26118119,Red,Clarks,w
106,http://clarks.scene7.com/is/image/clarks/26125206_AZ?$prod_list$,Alitay Susan,$100.00,http://www.clarksusa.com/us/womens/womens-flats/alitay-susan-nude-pink-leather/p/26125206,Nude Pink Leather,Clarks,w
107,http://clarks.scene7.com/is/image/clarks/26126107_AZ?$prod_list$,Delana Fenela,,http://www.clarksusa.com/us/womens-collections/womens-collection/delana-fenela-black-grey-snake-print-leather/p/26126107,Black/Grey Snake Print Leather,Clarks,w
108,http://clarks.scene7.com/is/image/clarks/26124412_AZ?$prod_list$,Everlay Bai,$95.00,http://www.clarksusa.com/us/womens-collections/womens-collection/everlay-bai-black-leather/p/26124412,Black Leather,Clarks,w
109,http://clarks.scene7.com/is/image/clarks/26122849_AZ?$prod_list$,Wave Andes,$140.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/wave-andes-sage-nubuck/p/26122849,Sage Nubuck,Clarks,w
