,image,name,price,link,gender
61,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=848186_002&$img1=848186_200,Nike Air Presto SE,$130,http://store.nike.com/us/en_us/pd/air-presto-se-mens-shoe/pid-11096051/pgid-11166279,m
62,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844839_001&$img1=844839_002&$img2=844839_100,Nike Kwazi,$90,http://store.nike.com/us/en_us/pd/kwazi-mens-shoe/pid-11057030/pgid-11505557,m
63,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=804609_003,Nike Air Force 1 07 Mid LV8,$105,http://store.nike.com/us/en_us/pd/air-force-1-07-mid-lv8-mens-shoe/pid-11047760/pgid-11166244,m
64,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819721_600&$img1=819721_001&$img2=819721_500,Nike Cortez Basic Premium QS,$90,http://store.nike.com/us/en_us/pd/cortez-basic-premium-qs-mens-shoe/pid-11161528/pgid-11528168,m
65,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=705149_010&$img1=705149_304,Nike Air Max Tavas,$90,http://store.nike.com/us/en_us/pd/air-max-tavas-mens-shoe/pid-10299011/pgid-11451877,m
66,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844874_402&$img1=844874_602&$img2=844874_006,Nike Air Max Modern Essential,$90,http://store.nike.com/us/en_us/pd/air-max-modern-essential-mens-shoe/pid-11240957/pgid-11464968,m
67,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844652_004,Nike Air Zoom Pegasus 92,$120,http://store.nike.com/us/en_us/pd/air-zoom-pegasus-92-mens-shoe/pid-11246702/pgid-11296488,m
68,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844751_001&$img1=844751_700&$img2=844751_800,Nike Air Pegasus 89 Jacquard,$120,http://store.nike.com/us/en_us/pd/air-pegasus-89-jacquard-mens-shoe/pid-11056927/pgid-11505526,m
69,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=704830_007,Nike Air Huarache Premium,$120,http://store.nike.com/us/en_us/pd/air-huarache-premium-mens-shoe/pid-11241800/pgid-10978227,m
70,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=845058_001&$img1=845058_100,Nike Air Zoom Cabos,$135,http://store.nike.com/us/en_us/pd/air-zoom-cabos-mens-shoe/pid-11057414/pgid-11166169,m
71,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=845089_402&$img1=845089_300&$img2=845089_401,Nike Roshe Waffle Racer NM,$115,http://store.nike.com/us/en_us/pd/roshe-waffle-racer-nm-mens-shoe/pid-11156815/pgid-11166217,m
72,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844654_004,Nike Air Zoom Pegasus 92 Premium,$130,http://store.nike.com/us/en_us/pd/air-zoom-pegasus-92-premium-mens-shoe/pid-11246704/pgid-11296501,m
73,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844626_003,Nike Zoom Mercurial Flyknit,$200,http://store.nike.com/us/en_us/pd/zoom-mercurial-flyknit-mens-shoe/pid-11246698/pgid-11149192,m
74,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=805890_101,Nike Free Hypervenom 2 FS,$130,http://store.nike.com/us/en_us/pd/free-hypervenom-2-fs-mens-shoe/pid-11155293/pgid-10348283,m
75,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=845013_601,Nike Cortez Ultra Moire,$100,http://store.nike.com/us/en_us/pd/cortez-ultra-moire-mens-shoe/pid-11057333/pgid-11166117,m
76,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=315121_120&$img1=315121_036&$img2=315121_606,Nike Air Force 1 High 07,$100,http://store.nike.com/us/en_us/pd/air-force-1-high-07-mens-shoe/pid-11045774/pgid-11880185,m
77,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=724010_010&$img1=724010_001&$img2=724010_009,Jordan Eclipse,$100,http://store.nike.com/us/en_us/pd/jordan-eclipse-mens-shoe/pid-10264752/pgid-11831383,m
78,http://ugc.nikeid.com/is/image/nike/pwp_sheet_legacy?$NIKE_PWPx3$&$img0=ugc/872125707.tif&$img1=ugc/205164573.tif&$img2=ugc/416731918.tif,Nike Free Run 2 iD,$135,http://store.nike.com/us/en_us/product/free-run-2-id-shoe/?piid=39603&pbid=872125707#?pbid=872125707,m
79,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=705474_070&$img1=705474_091,Nike Benassi Solarsoft 2,$35,http://store.nike.com/us/en_us/pd/benassi-solarsoft-2-mens-slide/pid-10345008/pgid-11451878,m
80,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/102045549.tif&$img1=ugc/920563965.tif&$img2=ugc/1038587555.tif,Nike Air Force 1 Mid iD,$145,http://store.nike.com/us/en_us/product/air-force-one-mid-id/?piid=43196&pbid=102045549#?pbid=102045549,m
81,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=136064_020,Air Jordan 3 Retro,$190,http://store.nike.com/us/en_us/pd/air-jordan-3-retro-mens-shoe/pid-11154639/pgid-11274421,m
82,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=315122_111&$img1=315122_001,Nike Air Force 1,$90,http://store.nike.com/us/en_us/pd/air-force-1-mens-shoe/pid-10005903/pgid-404309,m
83,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=805554_003,Nike Free Mercurial Superfly,$200,http://store.nike.com/us/en_us/pd/free-mercurial-superfly-mens-shoe/pid-10831039/pgid-10313643,m
84,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/153316529.tif&$img1=ugc/942783660.tif&$img2=ugc/1086637398.tif,Nike Air Max 95 iD,$200,http://store.nike.com/us/en_us/product/air-max-95-id/?piid=43475&pbid=153316529#?pbid=153316529,m
85,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/765930636.tif&$img1=ugc/193831611.tif&$img2=ugc/354665511.tif,Nike Air Max 95 iD,$200,http://store.nike.com/us/en_us/product/air-max-95-id/?piid=43476&pbid=765930636#?pbid=765930636,m
