,image,name,price,link,color,brand,gender
60,http://clarks.scene7.com/is/image/clarks/26119306_AZ?$prod_list$,Lawes Hi GTX,$99.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/lawes-hi-gtx-black-leather/p/26119306,Black Leather,Clarks,m
61,http://clarks.scene7.com/is/image/clarks/26121267_AZ?$prod_list$,Outlay Roam,$89.99,http://www.clarksusa.com/us/mens/mens-view-all/outlay-roam-black-suede-w-lime/p/26121267,Black Suede w/ Lime,Clarks,m
62,http://clarks.scene7.com/is/image/clarks/26119343_AZ?$prod_list$,Brocton Walk,$129.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-oxfords-lace-ups/brocton-walk-black-leather/p/26119343,Black Leather,Clarks,m
63,http://clarks.scene7.com/is/image/clarks/26113069_AZ?$prod_list$,Ryerson Rise,$129.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-waterproof-boots/ryerson-rise-brown-tumbled-leather-wl/p/26113069,Brown Tumbled Leather-WL,Clarks,m
64,http://clarks.scene7.com/is/image/clarks/26113068_AZ?$prod_list$,Ryerson Rise,$119.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-waterproof-boots/ryerson-rise-black-tumbled-leather-wl/p/26113068,Black Tumbled Leather-WL,Clarks,m
65,http://clarks.scene7.com/is/image/clarks/26110559_AZ?$prod_list$,Milwright Peak,$79.99,http://www.clarksusa.com/us/mens/mens-view-all/milwright-peak-brown-tumbled-leather-wl/p/26110559,Brown Tumbled Leather-WL,Clarks,m
66,http://clarks.scene7.com/is/image/clarks/26119484_AZ?$prod_list$,Frelan Hike,$119.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/frelan-hike-black-leather/p/26119484,Black Leather,Clarks,m
67,http://clarks.scene7.com/is/image/clarks/26103805_AZ?$prod_list$,Rockie Top GTX,$69.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/rockie-top-gtx-black-leather/p/26103805,Black Leather,Clarks,m
68,http://clarks.scene7.com/is/image/clarks/26119671_AZ?$prod_list$,Devington Walk,$119.99,http://www.clarksusa.com/us/mens/mens-shoes/mens-oxfords-lace-ups/devington-walk-black-sde/p/26119671,Black Sde,Clarks,m
69,http://clarks.scene7.com/is/image/clarks/26120690_AZ?$prod_list$,Korik Rise Gtx,$119.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/korik-rise-gtx-black-leather/p/26120690,Black Leather,Clarks,m
70,http://clarks.scene7.com/is/image/clarks/26120951_AZ?$prod_list$,Kimball Rise,$119.99,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/kimball-rise-black-leather/p/26120951,Black Leather,Clarks,m
71,http://clarks.scene7.com/is/image/clarks/26113061_AZ?$prod_list$,Milwright Peak,$139.99,http://www.clarksusa.com/us/mens/mens-view-all/milwright-peak-black-tumbled-leather-wl/p/26113061,Black Tumbled Leather-WL,Clarks,m
72,http://clarks.scene7.com/is/image/clarks/26120952_AZ?$prod_list$,Kimball Peak,$109.99,http://www.clarksusa.com/us/mens/mens-boots/kimball-peak-black-leather---warm-lined/p/26120952,Black Leather - Warm Lined,Clarks,m
73,http://clarks.scene7.com/is/image/clarks/26113064_AZ?$prod_list$,Ryerson Dale,$109.99,http://www.clarksusa.com/us/mens/mens-view-all/ryerson-dale-black-tumbled-leather/p/26113064,Black Tumbled Leather,Clarks,m
74,http://clarks.scene7.com/is/image/clarks/26113065_AZ?$prod_list$,Ryerson Dale,$109.99,http://www.clarksusa.com/us/mens/mens-view-all/ryerson-dale-brown-nubuck/p/26113065,Brown Nubuck,Clarks,m
75,http://clarks.scene7.com/is/image/clarks/26113067_AZ?$prod_list$,Ryerson Peak,$159.99,http://www.clarksusa.com/us/mens/mens-view-all/ryerson-peak-brown-tumbled-leather-wl/p/26113067,Brown Tumbled Leather-WL,Clarks,m
76,http://clarks.scene7.com/is/image/clarks/26120095_AZ?$prod_list$,Baystone Top GTX,$109.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/baystone-top-gtx-brown-warm-lined-leather/p/26120095,Brown Warm Lined Leather,Clarks,m
77,http://clarks.scene7.com/is/image/clarks/26121911_AZ?$prod_list$,Allyn Top,$119.99,http://www.clarksusa.com/us/mens/mens-boots/mens-low-boots/allyn-top-tan-nubuck-waterproof/p/26121911,Tan Nubuck-Waterproof,Clarks,m
78,http://clarks.scene7.com/is/image/clarks/26120684_AZ?$prod_list$,Korik Rise Gtx,$109.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/korik-rise-gtx-tobacco-leather/p/26120684,Tobacco Leather,Clarks,m
79,http://clarks.scene7.com/is/image/clarks/26120673_AZ?$prod_list$,Sawtel Hi,$149.99,http://www.clarksusa.com/us/mens/mens-boots/sawtel-hi-tan-leather/p/26120673,Tan Leather,Clarks,m
80,http://clarks.scene7.com/is/image/clarks/26071973_AZ?$prod_list$,Rockie Hi GTX,$119.99,http://www.clarksusa.com/us/mens/mens-view-all/rockie-hi-gtx-brown-leather/p/26071973,Brown Leather,Clarks,m
81,http://clarks.scene7.com/is/image/clarks/26113060_AZ?$prod_list$,Milwright Hi,$79.99,http://www.clarksusa.com/us/mens/mens-view-all/milwright-hi-black-tumbled-leather-wl/p/26113060,Black Tumbled Leather-WL,Clarks,m
